station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6
69669,2019-02-15,37.0583326054238,-122.259240396796,2019,1,273.0,273.0,32.0,32.0,4,0,2,2,-32767
69707,2019-02-15,37.055079279394,-122.257922402734,2019,1,244.0,244.0,27.0,27.0,4,0,2,2,-32767
70373,2019-02-15,36.9715535148812,-122.142794191813,2019,1,259.0,259.0,29.0,29.0,4,0,3,1,-32767
70418,2019-02-15,36.9704645956738,-122.141795318277,2019,1,364.0,364.0,42.0,42.0,3,0,2,1,-32767
70419,2019-02-15,36.9707349994894,-122.141792282283,2019,1,403.0,403.0,48.0,48.0,3,0,2,1,-32767
70428,2019-02-15,36.9701917553783,-122.141461354352,2019,1,423.0,423.0,51.0,51.0,3,0,2,1,-32767
70430,2019-02-15,36.9707325629745,-122.14145528002,2019,1,423.0,423.0,51.0,51.0,3,0,2,1,-32767
70437,2019-02-15,36.9696485103558,-122.141130431067,2019,1,517.0,517.0,59.0,58.0,2,0,1,1,-32767
70438,2019-02-15,36.9699189141614,-122.141127392811,2019,1,364.0,364.0,42.0,42.0,3,0,2,1,-32767
70439,2019-02-15,36.9701893179546,-122.141124354514,2019,1,866.0,502.0,105.0,65.0,3,0,2,1,-32767
70441,2019-02-15,36.9707301255032,-122.141118277798,2019,1,787.0,436.0,93.0,55.0,3,0,2,1,-32767
70450,2019-02-15,36.9696460720233,-122.140793433653,2019,1,605.0,605.0,72.0,72.0,2,0,1,1,-32767
70451,2019-02-15,36.9699164758052,-122.140790394205,2019,1,403.0,403.0,48.0,48.0,3,0,2,1,-32767
70452,2019-02-15,36.9701868795745,-122.140787354716,2019,1,905.0,477.0,111.0,60.0,3,0,2,1,-32767
70453,2019-02-15,36.9704572833313,-122.140784315187,2019,1,403.0,403.0,48.0,48.0,3,0,2,1,-32767
70563,2019-02-15,36.9674608550055,-122.13778485868,2019,1,403.0,403.0,48.0,48.0,3,0,2,1,-32767
