station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
69807,2018-02-15,37.0463410675693,-122.244512829871,2018,1,944.0,315.0,117.0,40.0,6,0,3,3,-32767,1,48,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
69816,2018-02-15,37.0460685116911,-122.24417816629,2018,1,1126.0,238.0,138.0,30.0,6,0,3,3,-32767,1,51,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
69884,2018-02-15,37.0436154669564,-122.241166301731,2018,1,172.0,172.0,20.0,20.0,6,0,3,3,-32767,1,52,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
69918,2018-02-15,37.0408984336089,-122.239169293609,2018,1,944.0,316.0,117.0,40.0,6,0,3,3,-32767,1,53,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
69928,2018-02-15,37.0408962699958,-122.238831973362,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,54,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
69946,2018-02-15,37.0403511257611,-122.238162736898,2018,1,801.0,374.0,102.0,48.0,6,0,3,3,-32767,1,55,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
69953,2018-02-15,37.0400785522501,-122.237828122254,2018,1,212.0,212.0,26.0,26.0,6,0,3,3,-32767,1,56,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
69954,2018-02-15,37.0403489593136,-122.237825419151,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,57,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
69982,2018-02-15,37.0387178418737,-122.236492395304,2018,1,221.0,221.0,27.0,27.0,6,0,3,3,-32767,1,58,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
69983,2018-02-15,37.0389882489152,-122.236489687598,2018,1,423.0,269.0,51.0,33.0,6,0,3,3,-32767,1,59,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70087,2018-02-15,36.9852488548569,-122.167248408393,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,60,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70148,2018-02-15,36.9751413397674,-122.152865427515,2018,1,241.0,241.0,30.0,30.0,6,0,3,3,-32767,1,61,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70153,2018-02-15,36.9751389344375,-122.152528404853,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,62,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70171,2018-02-15,36.9743204997699,-122.151526343202,2018,1,242.0,242.0,29.0,29.0,5,0,2,3,-32767,1,63,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70218,2018-02-15,36.9737652225032,-122.149510248414,2018,1,230.0,230.0,27.0,27.0,5,0,2,3,-32767,1,64,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70228,2018-02-15,36.9737628077258,-122.149173232112,2018,1,219.0,219.0,25.0,25.0,5,0,2,3,-32767,1,65,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70229,2018-02-15,36.9740332119116,-122.149170221856,2018,1,221.0,221.0,27.0,27.0,6,0,3,3,-32767,1,66,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70230,2018-02-15,36.9743036160848,-122.14916721156,2018,1,241.0,241.0,30.0,30.0,6,0,3,3,-32767,1,67,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70231,2018-02-15,36.9745740202455,-122.149164201223,2018,1,182.0,182.0,21.0,21.0,6,0,3,3,-32767,1,68,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70241,2018-02-15,36.9740307961541,-122.148833204403,2018,1,231.0,231.0,29.0,29.0,6,0,3,3,-32767,1,69,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70242,2018-02-15,36.9743012003038,-122.148830192914,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,70,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70243,2018-02-15,36.9745716044409,-122.148827181386,2018,1,260.0,260.0,33.0,33.0,6,0,3,3,-32767,1,71,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70251,2018-02-15,36.9740283794402,-122.148496186989,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,72,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70252,2018-02-15,36.9742987835662,-122.148493174309,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,73,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70259,2018-02-15,36.9737555576547,-122.148162183449,2018,1,277.0,277.0,34.0,34.0,5,0,2,3,-32767,1,74,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70260,2018-02-15,36.9740259617697,-122.148159169616,2018,1,270.0,270.0,35.0,35.0,6,0,3,3,-32767,1,75,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70261,2018-02-15,36.9742963658722,-122.148156155744,2018,1,492.0,331.0,62.0,43.0,6,0,3,3,-32767,1,76,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70262,2018-02-15,36.9745667699621,-122.148153141831,2018,1,309.0,309.0,41.0,41.0,6,0,3,3,-32767,1,77,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70263,2018-02-15,36.9748371740395,-122.148150127878,2018,1,290.0,290.0,38.0,38.0,6,0,3,3,-32767,1,78,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70264,2018-02-15,36.9751075781043,-122.148147113885,2018,1,531.0,350.0,68.0,45.0,6,0,3,3,-32767,1,79,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70268,2018-02-15,36.9740235431428,-122.147822152284,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,80,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70269,2018-02-15,36.9742939472216,-122.147819137219,2018,1,212.0,212.0,26.0,26.0,6,0,3,3,-32767,1,81,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70270,2018-02-15,36.9745643512879,-122.147816122114,2018,1,182.0,182.0,21.0,21.0,6,0,3,3,-32767,1,82,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70282,2018-02-15,36.97537314371,-122.147470053306,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,83,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70293,2018-02-15,36.9753707230519,-122.147133030093,2018,1,280.0,280.0,36.0,36.0,6,0,3,3,-32767,1,84,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70294,2018-02-15,36.9756411270207,-122.147130012443,2018,1,270.0,270.0,35.0,35.0,6,0,3,3,-32767,1,85,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
70306,2018-02-15,36.9767203210377,-122.146780912307,2018,1,289.0,289.0,36.0,36.0,5,0,2,3,-32767,1,86,S2A_MSIL2A_20180326T185011_R113_T10SEF_20201013T143220
