station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
68591,2018-02-15,37.5088219394806,-122.516179848501,2018,1,195.0,195.0,22.0,22.0,5,0,2,3,-32767,1,1,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
68592,2018-02-15,37.5090923394047,-122.516178103233,2018,1,183.0,183.0,20.0,20.0,5,0,2,3,-32767,1,2,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69284,2018-02-15,37.1130564314548,-122.320837606537,2018,1,309.0,309.0,41.0,41.0,6,0,3,3,-32767,1,3,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69291,2018-02-15,37.1130544968246,-122.320499960423,2018,1,270.0,270.0,35.0,35.0,6,0,3,3,-32767,1,4,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69300,2018-02-15,37.1127821525883,-122.320164731804,2018,1,309.0,309.0,41.0,41.0,6,0,3,3,-32767,1,5,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69301,2018-02-15,37.1130525612329,-122.320162314341,2018,1,329.0,329.0,44.0,44.0,6,0,3,3,-32767,1,6,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69302,2018-02-15,37.1133229698651,-122.320159896846,2018,1,319.0,319.0,42.0,42.0,6,0,3,3,-32767,1,7,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69303,2018-02-15,37.1135933784848,-122.320157479319,2018,1,309.0,309.0,41.0,41.0,6,0,3,3,-32767,1,8,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69312,2018-02-15,37.1125098074158,-122.319829505586,2018,1,270.0,270.0,35.0,35.0,6,0,3,3,-32767,1,9,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69313,2018-02-15,37.1127802160541,-122.319827086955,2018,1,290.0,290.0,38.0,38.0,6,0,3,3,-32767,1,10,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69314,2018-02-15,37.1130506246799,-122.319824668292,2018,1,290.0,290.0,38.0,38.0,6,0,3,3,-32767,1,11,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69316,2018-02-15,37.113591441894,-122.319819830868,2018,1,300.0,300.0,39.0,39.0,6,0,3,3,-32767,1,12,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69327,2018-02-15,37.1133190957598,-122.319484602379,2018,1,280.0,280.0,36.0,36.0,6,0,3,3,-32767,1,13,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69485,2018-02-15,37.1118848120902,-122.305315799847,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,14,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69514,2018-02-15,37.1113380572627,-122.304307827977,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,15,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69515,2018-02-15,37.1116084650726,-122.30430535426,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,16,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69523,2018-02-15,37.1107952600199,-122.3039751404,2018,1,172.0,172.0,20.0,20.0,6,0,3,3,-32767,1,17,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69524,2018-02-15,37.1110656678355,-122.303972665549,2018,1,241.0,241.0,30.0,30.0,6,0,3,3,-32767,1,18,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69525,2018-02-15,37.1113360756385,-122.303970190664,2018,1,241.0,241.0,30.0,30.0,6,0,3,3,-32767,1,19,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69526,2018-02-15,37.1116064834291,-122.303967715747,2018,1,251.0,251.0,32.0,32.0,6,0,3,3,-32767,1,20,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69527,2018-02-15,37.1118768912071,-122.303965240796,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,21,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69533,2018-02-15,37.110793277473,-122.303637505522,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,22,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69534,2018-02-15,37.1110636852692,-122.30363502947,2018,1,172.0,172.0,20.0,20.0,6,0,3,3,-32767,1,23,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69541,2018-02-15,37.1107912939647,-122.303299870676,2018,1,172.0,172.0,20.0,20.0,6,0,3,3,-32767,1,24,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69595,2018-02-15,37.1088805455626,-122.300278574006,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,25,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69677,2018-02-15,37.0596825355942,-122.258889846971,2018,1,915.0,315.0,113.0,40.0,6,0,3,3,-32767,1,26,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69687,2018-02-15,37.0583283896744,-122.258565598905,2018,1,182.0,182.0,21.0,21.0,6,0,3,3,-32767,1,27,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69688,2018-02-15,37.0585987971919,-122.258562967606,2018,1,212.0,212.0,26.0,26.0,6,0,3,3,-32767,1,28,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69689,2018-02-15,37.058869204697,-122.258560336271,2018,1,732.0,339.0,92.0,43.0,6,0,3,3,-32767,1,29,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69690,2018-02-15,37.0591396121895,-122.258557704902,2018,1,973.0,332.0,122.0,43.0,6,0,3,3,-32767,1,30,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69691,2018-02-15,37.0594100196695,-122.258555073497,2018,1,212.0,212.0,26.0,26.0,6,0,3,3,-32767,1,31,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69699,2018-02-15,37.0577854653289,-122.258233464899,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,32,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69700,2018-02-15,37.058055872851,-122.258230832473,2018,1,374.0,240.0,44.0,28.0,6,0,3,3,-32767,1,33,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69701,2018-02-15,37.0583262803605,-122.258228200012,2018,1,231.0,231.0,29.0,29.0,6,0,3,3,-32767,1,34,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69702,2018-02-15,37.0585966878574,-122.258225567516,2018,1,221.0,221.0,27.0,27.0,6,0,3,3,-32767,1,35,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69703,2018-02-15,37.0588670953419,-122.258222934984,2018,1,840.0,385.0,108.0,50.0,6,0,3,3,-32767,1,36,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69704,2018-02-15,37.0591375028139,-122.258220302418,2018,1,732.0,339.0,92.0,43.0,6,0,3,3,-32767,1,37,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69705,2018-02-15,37.0594079102733,-122.258217669816,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,38,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69727,2018-02-15,37.0566996138564,-122.257569210937,2018,1,423.0,271.0,51.0,33.0,6,0,3,3,-32767,1,39,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69730,2018-02-15,37.0556158716212,-122.257242362487,2018,1,163.0,163.0,18.0,18.0,6,0,3,3,-32767,1,40,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69731,2018-02-15,37.0558862791815,-122.257239726751,2018,1,635.0,292.0,77.0,36.0,6,0,3,3,-32767,1,41,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69732,2018-02-15,37.0561566867294,-122.25723709098,2018,1,335.0,212.0,38.0,24.0,6,0,3,3,-32767,1,42,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69735,2018-02-15,37.0556137586753,-122.256904975705,2018,1,403.0,259.0,48.0,31.0,6,0,3,3,-32767,1,43,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69736,2018-02-15,37.0558841662151,-122.256902338772,2018,1,182.0,182.0,21.0,21.0,6,0,3,3,-32767,1,44,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69742,2018-02-15,37.0550708296943,-122.256572865113,2018,1,172.0,172.0,20.0,20.0,6,0,3,3,-32767,1,45,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69743,2018-02-15,37.0553412372384,-122.256570227053,2018,1,163.0,163.0,18.0,18.0,6,0,3,3,-32767,1,46,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69802,2018-02-15,37.0468840297226,-122.244844817002,2018,1,762.0,351.0,96.0,45.0,6,0,3,3,-32767,1,47,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69807,2018-02-15,37.0463410675693,-122.244512829871,2018,1,944.0,315.0,117.0,40.0,6,0,3,3,-32767,1,48,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69808,2018-02-15,37.0466114747657,-122.244510149867,2018,1,924.0,326.0,114.0,42.0,6,0,3,3,-32767,1,49,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69809,2018-02-15,37.0468818819496,-122.244507469827,2018,1,752.0,360.0,95.0,47.0,6,0,3,3,-32767,1,50,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69816,2018-02-15,37.0460685116911,-122.24417816629,2018,1,1126.0,238.0,138.0,30.0,6,0,3,3,-32767,1,51,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69884,2018-02-15,37.0436154669564,-122.241166301731,2018,1,172.0,172.0,20.0,20.0,6,0,3,3,-32767,1,52,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69918,2018-02-15,37.0408984336089,-122.239169293609,2018,1,944.0,316.0,117.0,40.0,6,0,3,3,-32767,1,53,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69928,2018-02-15,37.0408962699958,-122.238831973362,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,54,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69946,2018-02-15,37.0403511257611,-122.238162736898,2018,1,801.0,374.0,102.0,48.0,6,0,3,3,-32767,1,55,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69953,2018-02-15,37.0400785522501,-122.237828122254,2018,1,212.0,212.0,26.0,26.0,6,0,3,3,-32767,1,56,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69954,2018-02-15,37.0403489593136,-122.237825419151,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,57,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69982,2018-02-15,37.0387178418737,-122.236492395304,2018,1,221.0,221.0,27.0,27.0,6,0,3,3,-32767,1,58,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
69983,2018-02-15,37.0389882489152,-122.236489687598,2018,1,423.0,269.0,51.0,33.0,6,0,3,3,-32767,1,59,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70087,2018-02-15,36.9852488548569,-122.167248408393,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,60,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70148,2018-02-15,36.9751413397674,-122.152865427515,2018,1,241.0,241.0,30.0,30.0,6,0,3,3,-32767,1,61,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70153,2018-02-15,36.9751389344375,-122.152528404853,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,62,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70171,2018-02-15,36.9743204997699,-122.151526343202,2018,1,242.0,242.0,29.0,29.0,5,0,2,3,-32767,1,63,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70218,2018-02-15,36.9737652225032,-122.149510248414,2018,1,230.0,230.0,27.0,27.0,5,0,2,3,-32767,1,64,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70228,2018-02-15,36.9737628077258,-122.149173232112,2018,1,219.0,219.0,25.0,25.0,5,0,2,3,-32767,1,65,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70229,2018-02-15,36.9740332119116,-122.149170221856,2018,1,221.0,221.0,27.0,27.0,6,0,3,3,-32767,1,66,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70230,2018-02-15,36.9743036160848,-122.14916721156,2018,1,241.0,241.0,30.0,30.0,6,0,3,3,-32767,1,67,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70231,2018-02-15,36.9745740202455,-122.149164201223,2018,1,182.0,182.0,21.0,21.0,6,0,3,3,-32767,1,68,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70241,2018-02-15,36.9740307961541,-122.148833204403,2018,1,231.0,231.0,29.0,29.0,6,0,3,3,-32767,1,69,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70242,2018-02-15,36.9743012003038,-122.148830192914,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,70,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70243,2018-02-15,36.9745716044409,-122.148827181386,2018,1,260.0,260.0,33.0,33.0,6,0,3,3,-32767,1,71,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70251,2018-02-15,36.9740283794402,-122.148496186989,2018,1,192.0,192.0,23.0,23.0,6,0,3,3,-32767,1,72,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70252,2018-02-15,36.9742987835662,-122.148493174309,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,73,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70259,2018-02-15,36.9737555576547,-122.148162183449,2018,1,277.0,277.0,34.0,34.0,5,0,2,3,-32767,1,74,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70260,2018-02-15,36.9740259617697,-122.148159169616,2018,1,270.0,270.0,35.0,35.0,6,0,3,3,-32767,1,75,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70261,2018-02-15,36.9742963658722,-122.148156155744,2018,1,492.0,331.0,62.0,43.0,6,0,3,3,-32767,1,76,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70262,2018-02-15,36.9745667699621,-122.148153141831,2018,1,309.0,309.0,41.0,41.0,6,0,3,3,-32767,1,77,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70263,2018-02-15,36.9748371740395,-122.148150127878,2018,1,290.0,290.0,38.0,38.0,6,0,3,3,-32767,1,78,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70264,2018-02-15,36.9751075781043,-122.148147113885,2018,1,531.0,350.0,68.0,45.0,6,0,3,3,-32767,1,79,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70268,2018-02-15,36.9740235431428,-122.147822152284,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,80,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70269,2018-02-15,36.9742939472216,-122.147819137219,2018,1,212.0,212.0,26.0,26.0,6,0,3,3,-32767,1,81,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70270,2018-02-15,36.9745643512879,-122.147816122114,2018,1,182.0,182.0,21.0,21.0,6,0,3,3,-32767,1,82,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70282,2018-02-15,36.97537314371,-122.147470053306,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,83,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70293,2018-02-15,36.9753707230519,-122.147133030093,2018,1,280.0,280.0,36.0,36.0,6,0,3,3,-32767,1,84,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70294,2018-02-15,36.9756411270207,-122.147130012443,2018,1,270.0,270.0,35.0,35.0,6,0,3,3,-32767,1,85,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70306,2018-02-15,36.9767203210377,-122.146780912307,2018,1,289.0,289.0,36.0,36.0,5,0,2,3,-32767,1,86,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70310,2018-02-15,36.9767178983483,-122.146443883214,2018,1,420.0,420.0,54.0,54.0,4,0,1,3,-32767,1,87,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70353,2018-02-15,36.9715559476418,-122.143131197813,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,88,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70354,2018-02-15,36.9718263515022,-122.143128166424,2018,1,300.0,300.0,39.0,39.0,6,0,3,3,-32767,1,89,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70355,2018-02-15,36.9720967553501,-122.143125134995,2018,1,242.0,242.0,29.0,29.0,5,0,2,3,-32767,1,90,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70373,2018-02-15,36.9715535148812,-122.142794191813,2018,1,309.0,309.0,41.0,41.0,6,0,3,3,-32767,1,91,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70374,2018-02-15,36.9718239187178,-122.142791159233,2018,1,1020.0,545.0,131.0,76.0,5,0,2,3,-32767,1,92,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
70375,2018-02-15,36.9720943225419,-122.142788126611,2018,1,418.0,418.0,56.0,56.0,5,0,2,3,-32767,1,93,S2A_MSIL2A_20180326T185011_R113_T10SEG_20201013T143218
