station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
100525,2018-02-15,36.1382147637594,-121.66014781431,2018,1,86.0,86.0,9.0,9.0,10,0,4,6,-32767,1,3534,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100604,2018-02-15,36.1390147638239,-121.659133951693,2018,1,115.0,115.0,12.0,12.0,8,0,2,6,-32767,1,3541,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100659,2018-02-15,36.1362995846749,-121.65817993211,2018,1,86.0,86.0,9.0,9.0,10,0,4,6,-32767,1,3544,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100677,2018-02-15,36.1354846559063,-121.657860404435,2018,1,121.0,121.0,14.0,14.0,10,0,4,6,-32767,1,3545,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100680,2018-02-15,36.1362958491993,-121.657846587799,2018,1,98.0,98.0,11.0,11.0,10,0,4,6,-32767,1,3546,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100697,2018-02-15,36.1352105218607,-121.65753167018,2018,1,86.0,86.0,9.0,9.0,10,0,4,6,-32767,1,3547,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100698,2018-02-15,36.1354809196137,-121.657527063615,2018,1,109.0,109.0,13.0,13.0,10,0,4,6,-32767,1,3548,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100700,2018-02-15,36.1360217150816,-121.657517850299,2018,1,86.0,86.0,9.0,9.0,10,0,4,6,-32767,1,3549,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100719,2018-02-15,36.1352067846775,-121.657198330564,2018,1,103.0,103.0,12.0,12.0,10,0,4,6,-32767,1,3550,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100745,2018-02-15,36.1352030465671,-121.656864991009,2018,1,219.0,146.0,25.0,17.0,10,0,4,6,-32767,1,3551,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100773,2018-02-15,36.1351993075293,-121.656531651516,2018,1,369.0,189.0,44.0,23.0,10,0,4,6,-32767,1,3552,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100794,2018-02-15,36.1333027839671,-121.656230588327,2018,1,122.0,122.0,14.0,14.0,8,0,2,6,-32767,1,3553,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100800,2018-02-15,36.1349251699456,-121.65620292316,2018,1,92.0,92.0,10.0,10.0,10,0,4,6,-32767,1,3554,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100801,2018-02-15,36.1351955675642,-121.656198312084,2018,1,92.0,92.0,10.0,10.0,10,0,4,6,-32767,1,3555,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100884,2018-02-15,36.1338323544376,-121.655221366067,2018,1,358.0,180.0,41.0,21.0,9,0,3,6,-32767,1,3556,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100885,2018-02-15,36.1341027519965,-121.655216751808,2018,1,86.0,86.0,9.0,9.0,10,0,4,6,-32767,1,3557,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100953,2018-02-15,36.1324691337528,-121.654244453353,2018,1,420.0,316.0,54.0,43.0,8,0,2,6,-32767,1,3558,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100954,2018-02-15,36.1327395312648,-121.654239835973,2018,1,325.0,216.0,39.0,26.0,8,0,2,6,-32767,1,3559,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
100978,2018-02-15,36.1316541951635,-121.65392498098,2018,1,123.0,123.0,13.0,13.0,7,0,1,6,-32767,1,3560,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101065,2018-02-15,36.1286685794001,-121.652975844287,2018,1,108.0,108.0,12.0,12.0,9,0,3,6,-32767,1,3561,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101206,2018-02-15,36.1273015895534,-121.651665726717,2018,1,109.0,109.0,13.0,13.0,10,0,4,6,-32767,1,3562,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101274,2018-02-15,36.1267532882123,-121.651008371129,2018,1,92.0,92.0,10.0,10.0,10,0,4,6,-32767,1,3563,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101301,2018-02-15,36.126479136243,-121.650679696763,2018,1,330.0,239.0,42.0,32.0,10,0,4,6,-32767,1,3564,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101330,2018-02-15,36.1264753807697,-121.650346395006,2018,1,109.0,109.0,13.0,13.0,10,0,4,6,-32767,1,3565,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101358,2018-02-15,36.1259308297071,-121.650022354884,2018,1,92.0,92.0,10.0,10.0,10,0,4,6,-32767,1,3566,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101359,2018-02-15,36.1262012270446,-121.650017724128,2018,1,86.0,86.0,9.0,9.0,10,0,4,6,-32767,1,3567,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101417,2018-02-15,36.1259233142733,-121.649355756249,2018,1,86.0,86.0,9.0,9.0,10,0,4,6,-32767,1,3568,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101418,2018-02-15,36.1261937115368,-121.649351123208,2018,1,215.0,215.0,29.0,29.0,10,0,4,6,-32767,1,3569,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101446,2018-02-15,36.1256491579267,-121.649027091146,2018,1,340.0,175.0,40.0,21.0,10,0,4,6,-32767,1,3570,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101447,2018-02-15,36.1259195551659,-121.649022457024,2018,1,98.0,98.0,11.0,11.0,10,0,4,6,-32767,1,3571,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101473,2018-02-15,36.1251046034867,-121.648703063467,2018,1,92.0,92.0,10.0,10.0,10,0,4,6,-32767,1,3572,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
101474,2018-02-15,36.1253750007144,-121.648698428327,2018,1,115.0,115.0,14.0,14.0,10,0,4,6,-32767,1,3573,S2A_MSIL2A_20180326T185011_R113_T10SFE_20201013T143217
