station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
91767,2018-02-15,36.2995884004744,-121.889596719912,2018,1,128.0,128.0,15.0,15.0,9,0,3,6,-32767,1,2335,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91768,2018-02-15,36.299858814299,-121.889592886582,2018,1,321.0,223.0,40.0,28.0,9,0,3,6,-32767,1,2336,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91769,2018-02-15,36.300129228111,-121.889589053201,2018,1,225.0,225.0,29.0,29.0,8,0,2,6,-32767,1,2337,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91770,2018-02-15,36.3003996419104,-121.889585219769,2018,1,181.0,181.0,23.0,23.0,8,0,2,6,-32767,1,2338,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91771,2018-02-15,36.3006700556973,-121.889581386286,2018,1,165.0,165.0,19.0,19.0,7,0,1,6,-32767,1,2339,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91772,2018-02-15,36.3009404694715,-121.889577552751,2018,1,181.0,181.0,22.0,22.0,7,0,1,6,-32767,1,2340,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91773,2018-02-15,36.3014812969821,-121.889569885529,2018,1,877.0,336.0,114.0,44.0,8,0,2,6,-32767,1,2341,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91778,2018-02-15,36.2787633970931,-121.88955775494,2018,1,86.0,86.0,9.0,9.0,10,0,4,6,-32767,1,2342,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91779,2018-02-15,36.2790338118579,-121.889553924391,2018,1,103.0,103.0,12.0,12.0,10,0,4,6,-32767,1,2343,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91780,2018-02-15,36.2793042266101,-121.88955009379,2018,1,92.0,92.0,10.0,10.0,10,0,4,6,-32767,1,2344,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91782,2018-02-15,36.2798450560766,-121.889542432436,2018,1,86.0,86.0,9.0,9.0,10,0,4,6,-32767,1,2345,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91836,2018-02-15,36.2993148832925,-121.889266487626,2018,1,115.0,115.0,13.0,13.0,9,0,3,6,-32767,1,2346,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91837,2018-02-15,36.2995852970992,-121.889262653195,2018,1,148.0,148.0,18.0,18.0,9,0,3,6,-32767,1,2347,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91838,2018-02-15,36.2998557108934,-121.889258818712,2018,1,121.0,121.0,14.0,14.0,9,0,3,6,-32767,1,2348,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91839,2018-02-15,36.3001261246749,-121.889254984178,2018,1,137.0,137.0,16.0,16.0,8,0,2,6,-32767,1,2349,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91840,2018-02-15,36.3003965384438,-121.889251149593,2018,1,188.0,188.0,24.0,24.0,8,0,2,6,-32767,1,2350,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91841,2018-02-15,36.3006669522001,-121.889247314957,2018,1,148.0,148.0,17.0,17.0,7,0,1,6,-32767,1,2351,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91842,2018-02-15,36.3009373659438,-121.88924348027,2018,1,173.0,173.0,21.0,21.0,7,0,1,6,-32767,1,2352,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91848,2018-02-15,36.2787602951342,-121.889223776984,2018,1,277.0,185.0,34.0,23.0,10,0,4,6,-32767,1,2353,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91849,2018-02-15,36.2790307098685,-121.889219945283,2018,1,686.0,383.0,93.0,53.0,10,0,4,6,-32767,1,2354,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91850,2018-02-15,36.2793011245902,-121.889216113531,2018,1,377.0,253.0,50.0,33.0,10,0,4,6,-32767,1,2355,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91852,2018-02-15,36.2798419539958,-121.889208449874,2018,1,89.0,89.0,10.0,10.0,11,0,5,6,-32767,1,2356,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91873,2018-02-15,36.2855206597102,-121.889127969138,2018,1,224.0,155.0,26.0,18.0,10,0,4,6,-32767,1,2357,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91888,2018-02-15,36.2895768746742,-121.889070469104,2018,1,154.0,154.0,19.0,19.0,9,0,4,5,-32767,1,2358,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91889,2018-02-15,36.2898472889042,-121.88906663536,2018,1,154.0,154.0,19.0,19.0,9,0,4,5,-32767,1,2359,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91890,2018-02-15,36.2901177031217,-121.889062801565,2018,1,266.0,178.0,30.0,21.0,8,0,3,5,-32767,1,2360,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91891,2018-02-15,36.2903881173266,-121.889058967718,2018,1,281.0,184.0,33.0,22.0,8,0,3,5,-32767,1,2361,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91919,2018-02-15,36.2787571922429,-121.88888979908,2018,1,260.0,176.0,32.0,22.0,10,0,4,6,-32767,1,2362,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91920,2018-02-15,36.2790276069466,-121.888885966227,2018,1,1293.0,482.0,177.0,68.0,10,0,4,6,-32767,1,2363,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91921,2018-02-15,36.2792980216378,-121.888882133324,2018,1,1263.0,446.0,173.0,62.0,10,0,4,6,-32767,1,2364,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91922,2018-02-15,36.2795684363164,-121.888878300369,2018,1,121.0,121.0,14.0,14.0,10,0,4,6,-32767,1,2365,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91923,2018-02-15,36.2798388509824,-121.888874467363,2018,1,325.0,169.0,38.0,20.0,11,0,5,6,-32767,1,2366,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91961,2018-02-15,36.2901145989486,-121.888728775284,2018,1,181.0,181.0,23.0,23.0,8,0,3,5,-32767,1,2367,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91978,2018-02-15,36.300119915003,-121.888586846286,2018,1,144.0,144.0,17.0,17.0,8,0,2,6,-32767,1,2368,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91979,2018-02-15,36.3003903287109,-121.888583009395,2018,1,173.0,173.0,21.0,21.0,8,0,2,6,-32767,1,2369,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91980,2018-02-15,36.3006607424062,-121.888579172454,2018,1,190.0,190.0,23.0,23.0,7,0,1,6,-32767,1,2370,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91988,2018-02-15,36.2787540884191,-121.888555821226,2018,1,219.0,148.0,25.0,17.0,10,0,4,6,-32767,1,2371,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91989,2018-02-15,36.2790245030923,-121.888551987222,2018,1,943.0,425.0,128.0,59.0,10,0,4,6,-32767,1,2372,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91990,2018-02-15,36.279294917753,-121.888548153167,2018,1,434.0,221.0,54.0,28.0,10,0,4,6,-32767,1,2373,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91991,2018-02-15,36.279565332401,-121.888544319061,2018,1,260.0,174.0,32.0,21.0,10,0,4,6,-32767,1,2374,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91992,2018-02-15,36.2798357470365,-121.888540484904,2018,1,1194.0,401.0,160.0,56.0,11,0,5,6,-32767,1,2375,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
91993,2018-02-15,36.2801061616593,-121.888536650695,2018,1,1130.0,403.0,151.0,57.0,11,0,5,6,-32767,1,2376,S2A_MSIL2A_20180326T185011_R113_T10SFF_20201013T143221
