station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
303266,2018-02-15,33.0372384677423,-118.619054672328,2018,1,144.0,144.0,17.0,17.0,8,0,2,6,-32767,1,28403,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
303267,2018-02-15,33.0375089690745,-118.619059621255,2018,1,339.0,222.0,42.0,27.0,8,0,2,6,-32767,1,28404,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
303268,2018-02-15,33.0377794703943,-118.619064570248,2018,1,173.0,173.0,21.0,21.0,7,0,2,5,-32767,1,28405,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
303282,2018-02-15,33.0348081227843,-118.618688992717,2018,1,232.0,232.0,30.0,30.0,7,0,2,5,-32767,1,28406,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
303292,2018-02-15,33.0375131370926,-118.618738469198,2018,1,454.0,226.0,54.0,27.0,8,0,2,6,-32767,1,28407,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
303309,2018-02-15,33.0348122895482,-118.618367850399,2018,1,354.0,229.0,42.0,27.0,7,0,2,5,-32767,1,28408,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
303310,2018-02-15,33.0350827910777,-118.618372796769,2018,1,173.0,173.0,21.0,21.0,8,0,2,6,-32767,1,28409,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
303350,2018-02-15,33.0383329749579,-118.618111003236,2018,1,165.0,165.0,19.0,19.0,7,0,2,5,-32767,1,28410,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
303359,2018-02-15,33.0329271089454,-118.617690956554,2018,1,165.0,165.0,19.0,19.0,7,0,2,5,-32767,1,28411,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
303360,2018-02-15,33.0331976106472,-118.6176959005,2018,1,190.0,190.0,23.0,23.0,7,0,2,5,-32767,1,28412,S2B_MSIL2A_20180203T183549_R027_T11SLS_20201013T183906
