station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
336565,2018-02-15,33.4060555611409,-117.628049353626,2018,1,89.0,89.0,11.0,11.0,15,0,7,8,-32767,1,35036,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336566,2018-02-15,33.406326138492,-117.628051300702,2018,1,92.0,92.0,11.0,11.0,15,0,7,8,-32767,1,35037,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336571,2018-02-15,33.4052454615683,-117.627720904331,2018,1,120.0,120.0,16.0,16.0,15,0,7,8,-32767,1,35038,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336572,2018-02-15,33.4055160389718,-117.627722850329,2018,1,360.0,206.0,46.0,27.0,14,0,7,7,-32767,1,35039,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336573,2018-02-15,33.4057866163634,-117.627724796352,2018,1,197.0,139.0,25.0,18.0,15,0,7,8,-32767,1,35040,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336574,2018-02-15,33.406057193743,-117.627726742402,2018,1,89.0,89.0,11.0,11.0,15,0,7,8,-32767,1,35041,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336581,2018-02-15,33.4049765158495,-117.627396351109,2018,1,128.0,128.0,17.0,17.0,15,0,7,8,-32767,1,35042,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336582,2018-02-15,33.4052470932816,-117.627398296081,2018,1,1063.0,252.0,138.0,34.0,15,0,7,8,-32767,1,35043,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336583,2018-02-15,33.4055176707018,-117.627400241078,2018,1,1399.0,309.0,188.0,42.0,14,0,7,7,-32767,1,35044,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336584,2018-02-15,33.40578824811,-117.627402186102,2018,1,468.0,160.0,55.0,19.0,15,0,7,8,-32767,1,35045,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336593,2018-02-15,33.4041664142897,-117.627067912073,2018,1,75.0,75.0,8.0,8.0,13,0,6,7,-32767,1,35046,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336595,2018-02-15,33.4047075692468,-117.627071799887,2018,1,238.0,136.0,28.0,17.0,15,0,7,8,-32767,1,35047,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336596,2018-02-15,33.4049781467075,-117.627073743832,2018,1,759.0,197.0,94.0,25.0,15,0,7,8,-32767,1,35048,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336597,2018-02-15,33.4052487241562,-117.627075687804,2018,1,951.0,248.0,124.0,33.0,15,0,7,8,-32767,1,35049,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336598,2018-02-15,33.4055193015931,-117.627077631802,2018,1,812.0,235.0,105.0,30.0,15,0,7,8,-32767,1,35050,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336599,2018-02-15,33.405789879018,-117.627079575825,2018,1,116.0,116.0,15.0,15.0,15,0,7,8,-32767,1,35051,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336607,2018-02-15,33.404168044259,-117.62674530777,2018,1,169.0,117.0,20.0,14.0,14,0,7,7,-32767,1,35052,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336608,2018-02-15,33.4044386217602,-117.626747250664,2018,1,703.0,240.0,90.0,31.0,14,0,7,7,-32767,1,35053,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336609,2018-02-15,33.4047091992494,-117.626749193584,2018,1,682.0,201.0,85.0,25.0,15,0,7,8,-32767,1,35054,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336610,2018-02-15,33.4049797767268,-117.62675113653,2018,1,73.0,73.0,8.0,8.0,15,0,7,8,-32767,1,35055,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336619,2018-02-15,33.4041696733897,-117.626422703441,2018,1,74.0,74.0,8.0,8.0,14,0,7,7,-32767,1,35056,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336620,2018-02-15,33.4044402509075,-117.626424645335,2018,1,574.0,194.0,71.0,24.0,15,0,8,7,-32767,1,35057,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336621,2018-02-15,33.4047108284134,-117.626426587255,2018,1,138.0,94.0,16.0,11.0,15,0,7,8,-32767,1,35058,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336625,2018-02-15,33.4057931383177,-117.626434355194,2018,1,89.0,89.0,11.0,11.0,15,0,7,8,-32767,1,35059,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336631,2018-02-15,33.403630146577,-117.626096217376,2018,1,329.0,152.0,39.0,18.0,14,0,7,7,-32767,1,35060,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336632,2018-02-15,33.4039007241352,-117.626098158219,2018,1,156.0,108.0,18.0,13.0,14,0,7,7,-32767,1,35061,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336637,2018-02-15,33.4055241892347,-117.626109803816,2018,1,85.0,85.0,10.0,10.0,15,0,7,8,-32767,1,35062,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336643,2018-02-15,33.4033611964102,-117.625771675179,2018,1,266.0,141.0,31.0,17.0,13,0,6,7,-32767,1,35063,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336644,2018-02-15,33.403631773997,-117.625773614995,2018,1,836.0,245.0,107.0,32.0,14,0,7,7,-32767,1,35064,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336645,2018-02-15,33.4039023515719,-117.625775554838,2018,1,160.0,109.0,19.0,13.0,14,0,7,7,-32767,1,35065,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336651,2018-02-15,33.4055258167711,-117.625787194436,2018,1,57.0,57.0,6.0,6.0,15,0,7,8,-32767,1,35066,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336664,2018-02-15,33.4036334005784,-117.625451012589,2018,1,420.0,161.0,50.0,19.0,14,0,7,7,-32767,1,35067,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336670,2018-02-15,33.4052568659488,-117.625462646031,2018,1,138.0,94.0,16.0,11.0,15,0,7,8,-32767,1,35068,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336683,2018-02-15,33.4022821381016,-117.625118721332,2018,1,98.0,98.0,12.0,12.0,13,0,6,7,-32767,1,35069,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336684,2018-02-15,33.4025527157694,-117.625120659045,2018,1,204.0,141.0,25.0,17.0,13,0,6,7,-32767,1,35070,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336685,2018-02-15,33.4028232934252,-117.625122596784,2018,1,120.0,120.0,15.0,15.0,13,0,6,7,-32767,1,35071,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336707,2018-02-15,33.4020131852264,-117.624794187185,2018,1,91.0,91.0,11.0,11.0,14,0,7,7,-32767,1,35072,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336708,2018-02-15,33.4022837629227,-117.624796123872,2018,1,409.0,189.0,50.0,24.0,13,0,6,7,-32767,1,35073,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336709,2018-02-15,33.402554340607,-117.624798060585,2018,1,556.0,212.0,69.0,27.0,13,0,6,7,-32767,1,35074,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
336710,2018-02-15,33.4028249182794,-117.624799997324,2018,1,440.0,199.0,55.0,25.0,13,0,6,7,-32767,1,35075,S2B_MSIL2A_20180203T183549_R027_T11SMS_20201013T183909
