station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
334073,2018-02-15,33.5883222352874,-117.86925290672,2018,1,184.0,184.0,25.0,25.0,13,0,6,7,-32767,1,34764,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334079,2018-02-15,33.5877833968564,-117.868924211773,2018,1,179.0,179.0,24.0,24.0,13,0,6,7,-32767,1,34765,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334080,2018-02-15,33.5880539513511,-117.868926924161,2018,1,156.0,156.0,21.0,21.0,13,0,6,7,-32767,1,34766,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334081,2018-02-15,33.5883245058338,-117.868929636585,2018,1,156.0,156.0,21.0,21.0,13,0,5,8,-32767,1,34767,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334085,2018-02-15,33.5872445574403,-117.86859552097,2018,1,161.0,161.0,21.0,21.0,13,0,6,7,-32767,1,34768,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334086,2018-02-15,33.5875151119823,-117.868598232277,2018,1,233.0,233.0,32.0,32.0,12,0,6,6,-32767,1,34769,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334087,2018-02-15,33.5877856665122,-117.86860094362,2018,1,231.0,173.0,29.0,23.0,13,0,6,7,-32767,1,34770,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334091,2018-02-15,33.5869762716284,-117.868269544536,2018,1,145.0,145.0,19.0,19.0,12,0,5,7,-32767,1,34771,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334092,2018-02-15,33.5872468262055,-117.868272254798,2018,1,199.0,199.0,27.0,27.0,12,0,5,7,-32767,1,34772,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334104,2018-02-15,33.5861714087773,-117.867291627339,2018,1,86.0,86.0,10.0,10.0,14,0,7,7,-32767,1,34773,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334178,2018-02-15,33.5773240889948,-117.855566045688,2018,1,65.0,65.0,7.0,7.0,14,0,7,7,-32767,1,34774,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334192,2018-02-15,33.564718568422,-117.839281423615,2018,1,244.0,167.0,32.0,22.0,14,0,7,7,-32767,1,34775,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334193,2018-02-15,33.5649891260202,-117.839284041193,2018,1,128.0,128.0,17.0,17.0,14,0,7,7,-32767,1,34776,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334195,2018-02-15,33.5644502016879,-117.838955622394,2018,1,154.0,154.0,21.0,21.0,14,0,7,7,-32767,1,34777,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334198,2018-02-15,33.5636407186838,-117.838624592308,2018,1,270.0,270.0,35.0,35.0,6,0,3,3,-32767,1,34778,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334199,2018-02-15,33.5639112763746,-117.838627207731,2018,1,248.0,175.0,32.0,23.0,15,0,8,7,-32767,1,34779,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334200,2018-02-15,33.5641818340535,-117.83862982319,2018,1,389.0,222.0,51.0,30.0,14,0,7,7,-32767,1,34780,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
334201,2018-02-15,33.5644523917203,-117.838632438683,2018,1,459.0,213.0,59.0,28.0,14,0,7,7,-32767,1,34781,S2B_MSIL2A_20180203T183549_R027_T11SMT_20201013T183916
