station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
161987,2018-02-15,34.0360483115392,-120.464530344593,2018,1,316.0,316.0,42.0,42.0,7,0,2,5,-32767,1,7471,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
161988,2018-02-15,34.0363183814947,-120.464541337362,2018,1,358.0,358.0,48.0,48.0,6,0,1,5,-32767,1,7472,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162052,2018-02-15,34.0360574627606,-120.464205944286,2018,1,332.0,332.0,45.0,45.0,7,0,2,5,-32767,1,7473,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162053,2018-02-15,34.0363275328086,-120.464216936031,2018,1,280.0,280.0,36.0,36.0,6,0,1,5,-32767,1,7474,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162056,2018-02-15,34.0371377428625,-120.464249912142,2018,1,148.0,148.0,17.0,17.0,7,0,2,5,-32767,1,7475,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162117,2018-02-15,34.0357965429729,-120.463870553259,2018,1,341.0,341.0,46.0,46.0,7,0,2,5,-32767,1,7476,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162118,2018-02-15,34.0360666131283,-120.463881543832,2018,1,682.0,447.0,93.0,61.0,7,0,2,5,-32767,1,7477,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162119,2018-02-15,34.0363366832688,-120.463892534553,2018,1,260.0,260.0,33.0,33.0,6,0,1,5,-32767,1,7478,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162187,2018-02-15,34.0355356221315,-120.46353516428,2018,1,248.0,248.0,32.0,32.0,7,0,2,5,-32767,1,7479,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162188,2018-02-15,34.0358056923944,-120.463546153683,2018,1,408.0,408.0,57.0,57.0,7,0,2,5,-32767,1,7480,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162189,2018-02-15,34.0360757626423,-120.463557143232,2018,1,1612.0,478.0,217.0,67.0,7,0,2,5,-32767,1,7481,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162190,2018-02-15,34.0363458328752,-120.463568132928,2018,1,846.0,406.0,112.0,54.0,7,0,2,5,-32767,1,7482,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162263,2018-02-15,34.0355447706069,-120.463210765582,2018,1,299.0,299.0,40.0,40.0,7,0,2,5,-32767,1,7483,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162264,2018-02-15,34.0358148409622,-120.463221753961,2018,1,1140.0,584.0,157.0,82.0,7,0,2,5,-32767,1,7484,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162265,2018-02-15,34.0360849113026,-120.463232742486,2018,1,2490.0,547.0,346.0,79.0,7,0,2,5,-32767,1,7485,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162266,2018-02-15,34.0363549816279,-120.463243731157,2018,1,2053.0,394.0,279.0,55.0,7,0,2,5,-32767,1,7486,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162267,2018-02-15,34.0366250519382,-120.463254719975,2018,1,539.0,373.0,71.0,50.0,7,0,2,5,-32767,1,7487,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162268,2018-02-15,34.0368951222336,-120.463265708939,2018,1,667.0,337.0,87.0,44.0,8,0,3,5,-32767,1,7488,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162269,2018-02-15,34.0371651925139,-120.46327669805,2018,1,173.0,173.0,21.0,21.0,7,0,2,5,-32767,1,7489,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162346,2018-02-15,34.0355539182285,-120.462886366738,2018,1,324.0,324.0,44.0,44.0,7,0,2,5,-32767,1,7490,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162347,2018-02-15,34.0358239886764,-120.462897354092,2018,1,1498.0,595.0,206.0,84.0,7,0,2,5,-32767,1,7491,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
162348,2018-02-15,34.0360940591091,-120.462908341593,2018,1,2851.0,560.0,401.0,81.0,7,0,2,5,-32767,1,7492,S2B_MSIL2A_20180216T184429_R070_T10SGC_20201013T220815
