station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
253296,2018-02-15,33.2706679747413,-119.621679063077,2018,1,148.0,148.0,17.0,17.0,7,0,3,4,-32767,1,18821,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
253297,2018-02-15,33.2709382901492,-119.621687146498,2018,1,240.0,240.0,31.0,31.0,7,0,3,4,-32767,1,18822,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
253323,2018-02-15,33.2709450800516,-119.621365351848,2018,1,215.0,215.0,27.0,27.0,7,0,3,4,-32767,1,18823,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
253324,2018-02-15,33.2712153955154,-119.621373434387,2018,1,181.0,181.0,23.0,23.0,8,0,3,5,-32767,1,18824,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
253332,2018-02-15,33.2771623323011,-119.621551277559,2018,1,230.0,230.0,27.0,27.0,5,0,3,2,-32767,1,18825,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
253353,2018-02-15,33.2771691229691,-119.621229460041,2018,1,230.0,230.0,27.0,27.0,5,0,3,2,-32767,1,18826,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
253659,2018-02-15,33.2704655195308,-119.618453048197,2018,1,206.0,206.0,26.0,26.0,7,0,3,4,-32767,1,18841,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
255140,2018-02-15,33.2819813797613,-119.611068147282,2018,1,181.0,181.0,22.0,22.0,7,0,3,4,-32767,1,18915,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
255401,2018-02-15,33.2728108701858,-119.609828955798,2018,1,270.0,270.0,35.0,35.0,6,0,3,3,-32767,1,18937,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
255402,2018-02-15,33.273081188063,-119.609837003362,2018,1,251.0,251.0,32.0,32.0,6,0,3,3,-32767,1,18938,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
255430,2018-02-15,33.2809204006319,-119.610070429458,2018,1,156.0,156.0,18.0,18.0,7,0,3,4,-32767,1,18939,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
255431,2018-02-15,33.2811907181042,-119.610078480246,2018,1,148.0,148.0,17.0,17.0,7,0,3,4,-32767,1,18940,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
255483,2018-02-15,33.269573813321,-119.609410600717,2018,1,309.0,309.0,41.0,41.0,6,0,3,3,-32767,1,18946,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
255484,2018-02-15,33.2698441314294,-119.609418646002,2018,1,388.0,388.0,53.0,53.0,6,0,3,3,-32767,1,18947,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
255495,2018-02-15,33.2728176297305,-119.609507151227,2018,1,241.0,241.0,30.0,30.0,6,0,3,3,-32767,1,18948,S2B_MSIL2A_20180216T184429_R070_T11SKS_20201013T220815
