station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
191686,2018-02-15,34.4663050518891,-120.29517647876,2018,1,166.0,166.0,20.0,20.0,8,0,3,5,-32767,1,12399,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191698,2018-02-15,34.4665839505463,-120.294860990851,2018,1,1078.0,225.0,133.0,29.0,9,0,4,5,-32767,1,12402,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191699,2018-02-15,34.4668540489118,-120.294871615865,2018,1,217.0,143.0,24.0,16.0,9,0,4,5,-32767,1,12403,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191701,2018-02-15,34.4673942455982,-120.294892866318,2018,1,121.0,121.0,14.0,14.0,9,0,4,5,-32767,1,12404,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191707,2018-02-15,34.4674030453606,-120.294566749207,2018,1,115.0,115.0,13.0,13.0,9,0,4,5,-32767,1,12405,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191720,2018-02-15,34.4698867156267,-120.292705611642,2018,1,358.0,358.0,48.0,48.0,6,0,1,5,-32767,1,12406,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191726,2018-02-15,34.4698955101073,-120.292379484118,2018,1,398.0,398.0,54.0,54.0,6,0,1,5,-32767,1,12407,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191727,2018-02-15,34.4663930155954,-120.291915344583,2018,1,652.0,331.0,86.0,44.0,9,0,4,5,-32767,1,12408,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191732,2018-02-15,34.4664018071916,-120.291589230388,2018,1,1261.0,281.0,161.0,38.0,9,0,4,5,-32767,1,12409,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191748,2018-02-15,34.4678226084114,-120.28903334329,2018,1,108.0,108.0,12.0,12.0,9,0,4,5,-32767,1,12410,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191753,2018-02-15,34.4659406923328,-120.288632986742,2018,1,128.0,128.0,15.0,15.0,9,0,4,5,-32767,1,12411,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191754,2018-02-15,34.4662107924206,-120.288643591439,2018,1,128.0,128.0,15.0,15.0,9,0,4,5,-32767,1,12412,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191759,2018-02-15,34.4675612926371,-120.288696617044,2018,1,95.0,95.0,10.0,10.0,9,0,4,5,-32767,1,12413,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191760,2018-02-15,34.467831392636,-120.288707222589,2018,1,102.0,102.0,11.0,11.0,9,0,4,5,-32767,1,12414,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191761,2018-02-15,34.4681014926201,-120.288717828274,2018,1,102.0,102.0,11.0,11.0,9,0,4,5,-32767,1,12415,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191762,2018-02-15,34.4683715925892,-120.288728434101,2018,1,159.0,159.0,19.0,19.0,8,0,3,5,-32767,1,12416,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191763,2018-02-15,34.4686416925436,-120.288739040069,2018,1,438.0,289.0,55.0,37.0,7,0,2,5,-32767,1,12417,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191764,2018-02-15,34.4689117924832,-120.288749646178,2018,1,948.0,434.0,125.0,57.0,6,0,1,5,-32767,1,12418,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191774,2018-02-15,34.4678401759925,-120.288381101746,2018,1,102.0,102.0,11.0,11.0,9,0,4,5,-32767,1,12419,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191775,2018-02-15,34.4681102760647,-120.288391706385,2018,1,141.0,141.0,17.0,17.0,9,0,4,5,-32767,1,12420,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191776,2018-02-15,34.4683803761221,-120.288402311165,2018,1,217.0,217.0,28.0,28.0,8,0,3,5,-32767,1,12421,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191777,2018-02-15,34.4686504761647,-120.288412916085,2018,1,223.0,223.0,28.0,28.0,7,0,2,5,-32767,1,12422,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191778,2018-02-15,34.4689205761925,-120.288423521147,2018,1,590.0,390.0,77.0,51.0,6,0,1,5,-32767,1,12423,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191779,2018-02-15,34.4691906762055,-120.288434126351,2018,1,1163.0,565.0,158.0,78.0,6,0,1,5,-32767,1,12424,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191785,2018-02-15,34.4670386579104,-120.288023170835,2018,1,128.0,128.0,15.0,15.0,9,0,4,5,-32767,1,12425,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191788,2018-02-15,34.4678489584807,-120.288054980763,2018,1,134.0,134.0,16.0,16.0,9,0,4,5,-32767,1,12426,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191789,2018-02-15,34.4681190586412,-120.288065584354,2018,1,141.0,141.0,17.0,17.0,9,0,4,5,-32767,1,12427,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191790,2018-02-15,34.4683891587869,-120.288076188087,2018,1,159.0,159.0,19.0,19.0,8,0,3,5,-32767,1,12428,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191800,2018-02-15,34.4670474392659,-120.287697052852,2018,1,141.0,141.0,17.0,17.0,9,0,4,5,-32767,1,12429,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191803,2018-02-15,34.4678577401009,-120.287728859638,2018,1,161.0,161.0,20.0,20.0,9,0,4,5,-32767,1,12430,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191804,2018-02-15,34.4681278403495,-120.287739462183,2018,1,134.0,134.0,16.0,16.0,9,0,4,5,-32767,1,12431,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191812,2018-02-15,34.4667861193572,-120.287360333794,2018,1,115.0,115.0,13.0,13.0,9,0,4,5,-32767,1,12432,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191813,2018-02-15,34.4670562197534,-120.287370934727,2018,1,269.0,179.0,32.0,21.0,9,0,4,5,-32767,1,12433,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191814,2018-02-15,34.4673263201347,-120.287381535801,2018,1,315.0,209.0,39.0,26.0,9,0,4,5,-32767,1,12434,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191824,2018-02-15,34.4662546978752,-120.287013017227,2018,1,121.0,121.0,14.0,14.0,9,0,4,5,-32767,1,12435,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191827,2018-02-15,34.4670649993727,-120.287044816462,2018,1,115.0,115.0,13.0,13.0,9,0,4,5,-32767,1,12436,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191828,2018-02-15,34.4673350998422,-120.287055416489,2018,1,275.0,182.0,33.0,22.0,9,0,4,5,-32767,1,12437,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191838,2018-02-15,34.4662634763619,-120.286686901962,2018,1,141.0,141.0,17.0,17.0,9,0,4,5,-32767,1,12438,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
191839,2018-02-15,34.466533576964,-120.286697500518,2018,1,167.0,167.0,21.0,21.0,9,0,4,5,-32767,1,12439,S2B_MSIL2A_20180216T184429_R070_T11SKU_20201013T220824
