station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
294414,2018-02-15,33.4786826722545,-119.063044920996,2018,1,181.0,181.0,23.0,23.0,8,0,3,5,-32767,1,25249,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294415,2018-02-15,33.4789530867774,-119.063051333222,2018,1,195.0,195.0,25.0,25.0,8,0,3,5,-32767,1,25250,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294416,2018-02-15,33.4792235012873,-119.063057745534,2018,1,151.0,151.0,18.0,18.0,8,0,3,5,-32767,1,25251,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294419,2018-02-15,33.4800347447395,-119.063076982982,2018,1,230.0,230.0,27.0,27.0,5,0,3,2,-32767,1,25252,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294420,2018-02-15,33.4803051591978,-119.063083395636,2018,1,207.0,207.0,23.0,23.0,5,0,3,2,-32767,1,25253,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294423,2018-02-15,33.4811164024952,-119.063102634111,2018,1,325.0,206.0,36.0,23.0,6,0,3,3,-32767,1,25254,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294424,2018-02-15,33.4813868169019,-119.063109047107,2018,1,315.0,200.0,35.0,22.0,6,0,3,3,-32767,1,25255,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294428,2018-02-15,33.4784176306662,-119.062715820192,2018,1,308.0,206.0,38.0,26.0,9,0,4,5,-32767,1,25256,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294429,2018-02-15,33.4786880452567,-119.062722231331,2018,1,261.0,261.0,35.0,35.0,8,0,3,5,-32767,1,25257,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294430,2018-02-15,33.4789584598343,-119.062728642555,2018,1,195.0,195.0,25.0,25.0,8,0,3,5,-32767,1,25258,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294431,2018-02-15,33.479228874399,-119.062735053866,2018,1,137.0,137.0,16.0,16.0,8,0,3,5,-32767,1,25259,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294438,2018-02-15,33.4811217759906,-119.062779935434,2018,1,202.0,202.0,24.0,24.0,6,0,3,3,-32767,1,25260,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294439,2018-02-15,33.481392190452,-119.062786347429,2018,1,163.0,163.0,18.0,18.0,6,0,3,3,-32767,1,25261,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294441,2018-02-15,33.4784230027742,-119.062393131442,2018,1,180.0,180.0,23.0,23.0,9,0,4,5,-32767,1,25262,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294442,2018-02-15,33.4786934174195,-119.06239954158,2018,1,450.0,294.0,59.0,38.0,8,0,3,5,-32767,1,25263,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294443,2018-02-15,33.4789638320519,-119.062405951803,2018,1,494.0,323.0,65.0,43.0,8,0,3,5,-32767,1,25264,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294444,2018-02-15,33.4792342466714,-119.062412362112,2018,1,240.0,240.0,31.0,31.0,7,0,3,4,-32767,1,25265,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294445,2018-02-15,33.479504661278,-119.062418772507,2018,1,153.0,153.0,17.0,17.0,6,0,3,3,-32767,1,25266,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294449,2018-02-15,33.4897804067664,-119.062662430923,2018,1,312.0,205.0,36.0,24.0,7,0,4,3,-32767,1,25267,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294450,2018-02-15,33.4900508208697,-119.062668844656,2018,1,137.0,137.0,16.0,16.0,8,0,4,4,-32767,1,25268,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294451,2018-02-15,33.478698788743,-119.062076851743,2018,1,122.0,122.0,14.0,14.0,8,0,3,5,-32767,1,25269,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294452,2018-02-15,33.4789692034301,-119.062083260965,2018,1,232.0,232.0,30.0,30.0,8,0,3,5,-32767,1,25270,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
294453,2018-02-15,33.4792396181044,-119.062089670273,2018,1,165.0,165.0,19.0,19.0,7,0,3,4,-32767,1,25271,S2B_MSIL2A_20180226T184319_R070_T11SLT_20201104T161328
