station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
193783,2018-02-15,34.0054519841117,-120.248354801409,2018,1,239.0,239.0,32.0,32.0,8,0,3,5,-32767,1,12475,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194519,2018-02-15,33.9974337159092,-120.244802734027,2018,1,282.0,282.0,37.0,37.0,7,0,2,5,-32767,1,12476,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194742,2018-02-15,33.9966490036146,-120.243798919651,2018,1,972.0,385.0,128.0,52.0,8,0,3,5,-32767,1,12477,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194745,2018-02-15,34.0058335128607,-120.244148446268,2018,1,200.0,200.0,26.0,26.0,9,0,4,5,-32767,1,12478,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194746,2018-02-15,34.0061036452297,-120.244158728859,2018,1,167.0,167.0,21.0,21.0,9,0,4,5,-32767,1,12479,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194748,2018-02-15,34.0066439099238,-120.244179294452,2018,1,108.0,108.0,12.0,12.0,9,0,4,5,-32767,1,12480,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194803,2018-02-15,33.9966575637353,-120.243474595728,2018,1,1542.0,479.0,210.0,66.0,8,0,3,5,-32767,1,12481,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194804,2018-02-15,33.996927696688,-120.24348487264,2018,1,1012.0,324.0,132.0,43.0,9,0,4,5,-32767,1,12482,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194806,2018-02-15,34.0058420759246,-120.243824087547,2018,1,193.0,193.0,25.0,25.0,9,0,4,5,-32767,1,12483,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194808,2018-02-15,34.0063823408212,-120.243844650819,2018,1,187.0,187.0,24.0,24.0,9,0,4,5,-32767,1,12484,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194869,2018-02-15,33.9958557237975,-120.243119444822,2018,1,181.0,181.0,23.0,23.0,8,0,3,5,-32767,1,12485,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194870,2018-02-15,33.9961258568806,-120.2431297203,2018,1,261.0,261.0,35.0,35.0,8,0,3,5,-32767,1,12486,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194871,2018-02-15,33.996395989949,-120.243139995915,2018,1,995.0,381.0,132.0,51.0,8,0,3,5,-32767,1,12487,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194872,2018-02-15,33.9966661230029,-120.243150271667,2018,1,2406.0,605.0,338.0,87.0,8,0,3,5,-32767,1,12488,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194873,2018-02-15,33.9969362560421,-120.243160547556,2018,1,1260.0,415.0,170.0,57.0,9,0,4,5,-32767,1,12489,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194946,2018-02-15,33.996134415122,-120.242805398149,2018,1,552.0,364.0,74.0,49.0,8,0,3,5,-32767,1,12490,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194947,2018-02-15,33.9964045482769,-120.242815672741,2018,1,1731.0,402.0,234.0,55.0,8,0,3,5,-32767,1,12491,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
194948,2018-02-15,33.9966746814174,-120.242825947469,2018,1,1695.0,464.0,232.0,65.0,9,0,4,5,-32767,1,12492,S2B_MSIL2A_20180328T183949_R070_T11SKT_20201013T154930
